Neighborhood,0-9_Year_Olds,10-19_Year_Olds,20-34_Year_Olds,35-54_Year_Olds,55-64_Year_Olds,65_Years_and_over
Allston,763,3384,14451,2322,768,624
Back Bay,713,1149,7501,3593,1689,1977
Beacon Hill,493,284,4590,1816,905,935
Brighton,2668,3168,29893,8375,3207,5374
Charlestown,1806,1108,5494,4668,1679,1684
Dorchester,15545,17210,28444,30941,11366,10743
Downtown,717,2561,5087,3603,1747,2277
East Boston,5554,4508,12476,11478,2960,3532
Fenway,450,7910,20390,2629,954,1562
Harbor Islands,4,10,100,324,82,15
Hyde Park,3878,4682,6221,9500,3906,4130
Jamaica Plain,3683,3195,11606,9786,3873,3398
Longwood,56,2255,2291,145,63,51
Mattapan,2853,3344,4657,6258,2715,2673
Mission Hill,1035,2354,7953,2639,1121,1772
North End,243,223,5064,1537,624,917
Roslindale,3206,3076,5523,8140,3105,3318
Roxbury,6477,8534,12521,12346,4704,4529
South Boston Waterfront,87,70,1475,615,177,140
South Boston,2553,2367,12494,7658,2893,3145
South End,2344,1733,10350,8840,3075,3270
West End,270,280,2286,1389,503,695
West Roxbury,3845,2944,17.56,29.23,12.92,17.99
