Neighborhood,Worked_at_home,Car_truck_van,Drove_alone,Carpooled,Bus_trolley,Subway_elevated,Railroad,Bicycle,Walked,Other_Means
Allston,424,2761,2307,454,1516,1927,27,501,2661,680
Back Bay,848,3344,2963,381,399,1968,178,231,3438,277
Beacon Hill,316,1023,976,47,179,944,114,85,3655,142
Brighton,1495,12765,11222,1543,3112,3607,82,527,2664,1279
Charlestown,443,5384,4553,831,1306,940,115,158,1211,202
Dorchester,1042,30312,24843,5469,9767,9611,329,301,2502,835
Downtown,556,1591,1217,374,278,999,45,82,4395,374
East Boston,506,8508,6619,1889,1605,11046,145,51,1185,148
Fenway,927,2538,2143,395,1233,2565,0,331,7329,405
Harbor Islands,10,0,0,0,30,4,0,0,8,0
Hyde Park,459,11755,9884,1871,1749,1281,489,59,514,103
Jamaica Plain,903,9248,7791,1457,2758,6819,258,1197,1177,350
Longwood,231,238,140,98,111,304,0,35,1180,26
Mattapan,254,5858,4410,1448,2154,1402,137,20,392,234
Mission Hill,207,1996,1624,372,1629,1665,71,570,2220,234
North End,196,1537,1447,90,112,1225,42,108,3217,89
Roslindale,546,9674,8407,1267,1360,1651,623,232,273,312
Roxbury,466,7637,6630,1007,4941,2138,129,284,1826,300
South Boston,540,10102,8705,1397,4473,2649,35,292,1679,203
South Boston Waterfront,93,976,852,124,93,358,0,12,392,79
South End,611,5423,4836,587,2496,2719,400,556,5345,251
West End,3020,121,646,614,32,295,386,24,54,1349
West Roxbury,643,12651,11327,1324,846,859,600,48,288,108
