Neighborhood,Owner_Occupied,Renter_Occupied
Allston,810,6828
Back Bay,3230,6599
Beacon Hill,1836,3614
Brighton,5625,17347
Charlestown,3719,4314
Dorchester,14201,27036
Downtown,1971,4905
East Boston,4028,10623
Fenway,1373,11464
Harbor Islands,0,0
Hyde Park,6782,4930
Jamaica Plain,6675,8287
Longwood,63,332
Mattapan,3320,5029
Mission Hill,759,5770
North End,1268,4022
Roslindale,5464,4969
Roxbury,3552,14269
South Boston Waterfront,520,850
South Boston,5975,8869
South End,5702,9927
West End,681,2201
West Roxbury,8237,4723
