Neighborhood,White,Black_African_American,Hispanic,Asian/PI,Other
Allston,12808,1075,2799,4510,1120
Back Bay,13096,661,943,1564,358
Beacon Hill,7832,178,374,483,156
Brighton,36761,2356,4641,7058,1869
Charlestown,12458,764,1591,1344,282
Dorchester,25322,49144,19407,10637,9739
Downtown,9261,706,759,4933,333
East Boston,15051,1283,21419,1413,1342
Fenway,21995,1659,2751,6379,1111
Harbor Islands,165,204,134,9,23
Hyde Park,9128,15111,6507,535,1036
Jamaica Plain,19061,4462,9140,1692,1186
Longwood,3381,377,457,481,165
Mattapan,1434,17179,2722,386,779
Mission Hill,7992,2680,3216,2523,463
North End,7888,53,308,250,109
Roslindale,13363,5376,6156,675,798
Roxbury,5002,25691,14175,1030,3213
South Boston Waterfront,2194,40,129,154,47
South Boston,24344,1532,3216,1488,530
South End,16024,3968,4019,4762,839
West End,3450,615,481,746,131
West Roxbury,22302,2959,2573,1976,635
